"MonthYear","Artist","Plays"
"2019-12","Bryce Hase",16
"2019-12","Justin Timberlake",16
"2019-12","Post Malone",16
"2019-12","Roy Woods",16
"2020-01","Lil Uzi Vert",16
"2020-02","Ryan Trey",16
"2020-02","The Who",16
"2020-03","Don Toliver",16
"2020-03","Drake",16
"2020-03","Jack Harlow",16
"2020-03","The Who",16
"2020-04","Billie Eilish",16
"2020-05","Tame Impala",16
"2020-05","The Rolling Stones",16
"2020-06","Maroon 5",16
"2020-07","Peter Green",16
"2020-08","Coldplay",16
"2020-08","Frank Ocean",16
"2020-08","Kid Cudi",16
"2020-08","Lil Wayne",16
"2020-10","Maroon 5",16
"2020-12","Selena Gomez",16
"2021-01","Drake",16
"2021-01","Dreamville",16
"2021-02","Bruno Mars",16
"2021-02","Don Toliver",16
"2021-03","Don Toliver",16
"2021-03","Led Zeppelin",16
"2021-04","Juice WRLD",16
"2021-04","Justin Timberlake",16
"2021-04","Young Thug",16
"2021-06","21 Savage",16
"2021-06","Coldplay",16
"2021-06","Martin Garrix",16
"2021-08","Coldplay",16
"2021-08","Don Toliver",16
"2021-09","Bryson Tiller",16
"2021-09","Future",16
"2021-10","Don Toliver",16
"2021-10","Kid Cudi",16
"2021-10","MGMT",16
"2021-11","Drake",16
"2021-12","Aliotta Haynes Jeremiah",16
"2021-12","Bryce Vine",16
"2022-01","Boston",16
"2022-01","Childish Gambino",16
"2022-03","Childish Gambino",16
"2022-03","Playboi Carti",16
"2022-04","Calvin Harris",16
"2022-05","Future",16
"2022-05","Playboi Carti",16
"2022-05","Tory Lanez",16
"2022-07","A$AP Mob",16
"2022-07","Elton John",16
"2022-08","Miguel",16
"2022-10","BabyTron",16
"2022-10","Elton John",16
"2022-10","Miguel",16
"2022-11","Cage The Elephant",16
"2022-11","Drake",16
"2022-11","Juice WRLD",16
"2022-12","Kid Cudi",16
"2016-04","Moxie Raia",15
"2016-05","Dada Life",15
"2017-05","Lil Uzi Vert",15
"2017-05","Logic",15
"2017-10","J. Cole",15
"2017-12","Big Sean",15
"2017-12","Logic",15
"2018-01","Kodak Black",15
"2018-05","Jay Rock",15
"2018-07","Migos",15
"2018-08","Eminem",15
"2018-08","Juice WRLD",15
"2018-08","Kanye West",15
"2018-08","Ty Dolla $ign",15
"2018-11","Kendrick Lamar",15
"2018-12","Logic",15
